;Michelin;Slug;Bookable;Street;ZipCode;Locality;Country;Longitude;Latitude;Cantidad_metodos_pago;Reservas_today;Reservas_last_week;Rate_Distinction;Numero_fotos;Is_Affiliated;Name;Average_Price;Numero_awards;Review_count;Rating_count;Food_rating;Service_rating;Ambience_rating;Tipo_comida;Provincia;Poblacion;Salario Medio Anual
4192;False;el-invernadero;True;Calle salvador dali 1 29730;29730;Rincon De La Victoria;Spain;-4.280396;36.7176779;4;0;0;Fabulous;57;True;El invernadero;20.0;0;28.0;49.0;9.0;8.3;8.3;Spanish;malaga;1695651;17390
4193;False;fushimi-inari;True;29730;29730;Rincon De La Victoria;Spain;-4.2976827;36.730342;5;0;0;Excellent;11;True;Fushimi Inari;25.0;0;19.0;40.0;10.0;9.6;9.6;Fusion;malaga;1695651;17390
4194;False;guadalupe;True;C. del Peligro, 15;29620;Torremolinos;Spain;-4.495469100000001;36.6222406;6;3;8;Excellent;42;True;Guadalupe;23.0;0;8.0;12.0;9.7;9.3;9.2;European;malaga;1695651;17390
4195;False;joseph-s-curry-hut;True;C. Salvador Allende, 60;29620;Torremolinos;Spain;-4.511749099999999;36.6009204;5;0;0;Excellent;6;True;Joseph's Curry Hut;17.0;0;6.0;14.0;9.7;9.7;8.7;Indian;malaga;1695651;17390
4196;False;taberna-mis-vinos;True;Av. la Riviera, 78;29620;Torremolinos;Spain;-4.4886214;36.6453108;5;0;2;Excellent;67;True;Taberna Mis Vinos;18.0;0;11.0;31.0;8.9;9.4;8.8;Mediterranean;malaga;1695651;17390
4197;False;la-esquina-de-giorge;True;C. del Bajondillo;29620;Torremolinos;Spain;-4.4950807;36.6250907;4;0;2;Excellent;17;True;La Esquina de Giorge;18.0;0;6.0;13.0;8.9;9.5;8.9;Cuban;malaga;1695651;17390
4198;False;marymar-mariscos;True;C. del Bajondillo, 21;29620;Torremolinos;Spain;-4.4962439;36.6229795;5;0;17;Very good;4;True;Marymar Mariscos;26.0;0;5.0;14.0;7.7;9.0;8.1;Seafood;malaga;1695651;17390
4199;False;la-favorita;True;Avenida del lido 11;29620;Torremolinos;Spain;-4.49428;36.62744;6;1;27;Excellent;15;True;La Favorita;15.0;0;780.0;2005.0;9.3;9.1;9.0;Italian;malaga;1695651;17390
4200;False;alby-s;True;Calle la Nogalera, 3;29620;Torremolinos;Spain;-4.4986375;36.6226796;6;1;9;Excellent;4;True;Alby's;18.0;0;120.0;326.0;9.6;9.5;9.2;Italian;malaga;1695651;17390
4201;False;morrofino-restaurant;True;P.º de Maritimo Torremolinos, 69;29620;Torremolinos;Spain;-4.4877265;36.6340609;4;0;61;Excellent;61;True;Morrofino Restaurant;20.0;0;24.0;62.0;9.5;9.5;9.3;Mediterranean;malaga;1695651;17390
4202;False;it-s-vietnam-beach;True;Calle los Perros, 16;29620;Torremolinos;Spain;-4.500231;36.6153757;4;0;13;Excellent;64;True;It’s Vietnam Beach;15.0;0;402.0;931.0;9.4;9.4;9.4;Vegetarian;malaga;1695651;17390
4203;False;taj-tandoori-torremolinos;True;C. de la Cruz, 6a;29620;Torremolinos;Spain;-4.7861853222656325;36.75424214075945;3;1;6;Excellent;10;True;Taj Tandoori Torremolinos;17.0;0;46.0;113.0;9.3;9.1;8.5;Indian;malaga;1695651;17390
4204;False;kyomu-malaga;True;Plaza de la Independencia, 12;29620;Torremolinos;Spain;-4.5011041;36.62446930000001;5;0;62;Excellent;12;True;Kyomu Málaga;25.0;0;281.0;756.0;9.6;9.6;9.5;Japanese;malaga;1695651;17390
4205;False;botticelli-resto;True;Av. de los Manantiales, 25;29620;Torremolinos;Spain;-4.5029619;36.6271988;4;0;0;Excellent;28;True;Botticelli Resto;21.0;0;15.0;31.0;9.0;9.7;8.5;Meat Cuisine;malaga;1695651;17390
4206;False;a-casa-nostra;True;P.º de Maritimo Torremolinos, 69;29620;Torremolinos;Spain;-4.4870349;36.6345921;8;0;3;Excellent;16;True;A Casa Nostra;17.0;0;132.0;282.0;9.5;9.4;9.0;Italian;malaga;1695651;17390
4207;False;angus-playamar;True;Paseo de Maritimo, Av. de Playamar, 69;29620;Torremolinos;Spain;-4.4874366;36.6342887;7;3;73;Excellent;17;True;ANGUS Playamar;18.0;0;181.0;481.0;9.2;8.9;9.0;Argentinian;malaga;1695651;17390
4208;False;macha-mochi-hot-pot;True;Av. de los Manantiales, 25;29620;Torremolinos;Spain;-4.5029619;36.6271988;5;0;2;Excellent;19;True;Macha Mochi Hot Pot;21.0;0;4.0;7.0;9.7;9.1;9.1;Asian;malaga;1695651;17390
4209;False;fenicia;True;"Calle de la Playa N;22";29620;Torremolinos;Spain;-4.4900566;36.6325727;5;0;0;Excellent;18;True;Fenicia;15.0;0;104.0;209.0;9.9;10.0;9.8;Lebanese;malaga;1695651;17390
